Combination,Optimized_b,Optimized_Objective,Optimized_Returns,Minimum_Variance
"('SUN', 'BWP', 'WTC', 'WDS', 'CSL', 'TWE')","[0.38116488021, 0.1, 0.1238250654, 0.18340527335, 0.1, 0.11160480078]",6.6180027578819365,0.0005783871928293935,8.739603381708227e-05
"('SUN', 'BWP', 'WTC', 'WDS', 'CSL', 'GNC')","[0.37106044816, 0.1, 0.11979520093, 0.16892756031, 0.10760161686, 0.1326151837]",6.893872395211897,0.0006190308272587049,8.979435530147752e-05
"('SUN', 'BWP', 'WTC', 'WDS', 'CSL', 'WOW')","[0.37982293904, 0.1, 0.13476971275, 0.18540734302, 0.1, 0.10000002405]",6.5075237607598675,0.0005541065501676076,8.514860191657693e-05
"('SUN', 'GPT', 'CPU', 'STO', 'SHL', 'TWE')","[0.29000132836, 0.1, 0.30999871102, 0.1, 0.1, 0.1]",6.253446159200156,0.0005126607811133005,8.198052210924803e-05
"('SUN', 'GPT', 'CPU', 'STO', 'SHL', 'GNC')","[0.26948366884, 0.1, 0.30268587312, 0.1, 0.1, 0.12783048803]",6.636898096145678,0.0005534005870123602,8.338241434409591e-05
"('SUN', 'GPT', 'CPU', 'STO', 'SHL', 'WOW')","[0.28625577801, 0.1, 0.31374426196, 0.1, 0.1, 0.1]",6.062187083446899,0.0004777910846019838,7.881496859551167e-05
"('SUN', 'GPT', 'CPU', 'STO', 'FPH', 'TWE')","[0.29882659549, 0.1, 0.30117344435, 0.1, 0.1, 0.1]",6.43779524023,0.0005125902532550607,7.962201873894139e-05
"('SUN', 'GPT', 'CPU', 'STO', 'FPH', 'GNC')","[0.27906627069, 0.1, 0.29436865904, 0.1, 0.1, 0.12656510026]",6.8371669009375955,0.0005533870751793654,8.093806735995843e-05
"('SUN', 'GPT', 'CPU', 'STO', 'FPH', 'WOW')","[0.29506478865, 0.1, 0.30493525132, 0.1, 0.1, 0.1]",6.233401316440183,0.0004777239254776383,7.663936609017506e-05
"('SUN', 'GPT', 'CPU', 'STO', 'CSL', 'TWE')","[0.29549548536, 0.1, 0.30450441011, 0.1, 0.1, 0.10000013262]",6.76491793508222,0.0005466640451700218,8.080867357386172e-05
